Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-08-03 14:28:21,INT-30190/16,Pojazdy zaparkowane w strefie zamieszkania w miejscach nie wyznaczonych.,NIEPRAWIDŁOWE PARKOWANIE,LEGNICKA 17/,,100,2016-08-03 15:08:15
2016-08-03 15:15:00,INT-30206/16,parkowanie na powierzchni wyłączonej z ruchu,BLOKADA,PLAC MUZEALNY /,,0,2016-08-03 17:04:50
2016-08-03 17:00:00,INT-30211/16,Kontrola zaparkowanych pojazdów na kopertach dla osób niepełnosprawnych,NIEPRAWIDŁOWE PARKOWANIE,KIEŁBAŚNICZA 25/,LAWETA,0,2016-08-03 17:53:31
2016-08-03 17:30:00,INT-30216/16,kontrola handlu na terenie gminy,HANDEL,SKARBOWCÓW /,MANDAT,50,2016-08-03 19:23:46
2016-08-03 15:50:00,INT-30227/16,Spozywanie alkoholu w miejscu zabronionym przez ustawę.,SPOŻYWANIE ALKOHOLU,STRZEGOMSKA /,MANDAT,100,2016-08-03 21:02:54
2016-08-03 16:00:00,INT-30229/16,Hnadel na terenie Gminy Wrocław bez wymaganego zezwolenia.,HANDEL,STRZEGOMSKA /,MANDAT,100,2016-08-03 21:09:37
2016-08-03 16:10:00,INT-30230/16,Postój pojazdem w miejscu obowiązywania znaku B-35.,NIEPRAWIDŁOWE PARKOWANIE,BUDZISZYŃSKA 36/,,0,2016-08-03 21:19:57
2016-08-03 21:35:33,INT-30232/16,"Parkowanie za B-36, wjazd od ul. Trzebnickiej.",NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 11/,,0,2016-08-03 23:58:15
2016-08-03 21:40:15,INT-30233/16,Zablokowany wyjazd z garażu przez Forda Mondeo.,NIEPRAWIDŁOWE PARKOWANIE,BELGIJSKA 85/,LAWETA,100,2016-08-03 22:57:33
2016-08-04 16:05:00,INT-30643/16,Parkowanie na powierzchni wyłączonej z ruchu P-21,BLOKADA,GWIAŹDZISTA /,,100,2016-08-08 08:32:17
2016-08-04 15:35:00,INT-30732/16,HANDEL NA TERENIE GMINNYM BEZ ZGODY,HANDEL,BACCIARELLEGO /,,50,2016-08-08 20:53:54
2016-08-04 17:15:00,INT-30679/16,rozwieszanie plakatów,HANDEL,MONTE CASSINO /,MANDAT,100,2016-08-08 12:04:00
2016-08-04 21:11:10,INT-30371/16,PARKOWANIE ZA ZNAKIEM B-36,NIEPRAWIDŁOWE PARKOWANIE,KONDUKTORSKA 2/,,0,2016-08-04 23:52:56
2016-08-04 16:10:00,INT-30665/16,SPOŻYWANIE ALKOHOLU,NIEPRAWIDŁOWE PARKOWANIE,WYSPA SŁODOWA /,MANDAT,100,2016-08-08 10:54:17
2016-08-04 21:01:03,INT-30370/16,"FIRMA REMONTOWA ZATRUDNIONA DO NOWO BUDOWANEGO MOSTU NA ŚLĘŻY WYRZUCIŁA W PARKU Z ZIELONKAWEGO BUSA O POCZĄTKU NUM REJ DST GRUZ, OPONY, ŚMIECI PRZY ""TAMCE-ŚLUZIE-STOPNIU WODNYM"" - WJEŻDŻAJĄC OD UL.ODKRYWCÓW ALEJĄ MIJAJĄC OGRODY ",PORZĄDKOWA,PARK GRABISZYŃSKI /,,500,2016-09-08 16:24:30
2016-08-04 02:49:40,INT-30247/16,"pojazd zaparkowany za znakiem zakazu z włączonym radiem, zakłóca ciszę nocną.",NIEPRAWIDŁOWE PARKOWANIE,ROGOWSKA 66/,OSTRZEŻENIE,0,2016-08-04 03:25:44
2016-08-04 00:35:00,INT-30248/16,Zanieczyszczenie miejsc dostępnych dla publiczności ul. Szewska,PORZĄDKOWA,SZEWSKA /,MANDAT,200,2016-08-04 03:50:51
2016-08-04 06:45:30,INT-30252/16,na kopercie dla osoby niepełnosprawnej pojazd bez uprawnień,NIEPRAWIDŁOWE PARKOWANIE,NYSKA 50A/,MANDAT,500,2016-08-04 07:10:52
2016-08-04 07:10:00,INT-30264/16,utrudnienie w ruchu kołowym,NIEPRAWIDŁOWE PARKOWANIE,KAZIMIERZA WIELKIEGO /,MANDAT,300,2016-08-04 07:46:57
2016-08-04 09:39:03,INT-30273/16,Na chodniku zaparkowany Ford i Opel utrudniają przejście.,NIEPRAWIDŁOWE PARKOWANIE,KOMANDORSKA 53/,,0,2016-08-04 14:37:24
2016-08-04 09:40:00,INT-30275/16,parkowanie za B-36,BLOKADA,GRABISZYŃSKA /,,100,2016-08-04 09:55:32
2016-08-04 10:01:32,INT-30276/16,W OKOLICY PARKU TECHNOLOGICZNEGO PO OBU STRONACH PARKOWANIE POJAZDÓW ZA ZNAKIEM B-36+T-24. ,NIEPRAWIDŁOWE PARKOWANIE,DUŃSKA 9/,,0,2016-08-04 17:46:59
2016-08-04 10:01:32,INT-30276/16,W OKOLICY PARKU TECHNOLOGICZNEGO PO OBU STRONACH PARKOWANIE POJAZDÓW ZA ZNAKIEM B-36+T-24. ,NIEPRAWIDŁOWE PARKOWANIE,DUŃSKA 9/,,100,2016-08-04 17:46:59
2016-08-04 10:08:34,INT-30277/16,"WJAZD OD UL. SĘPASZARZYŃSKIEGO. ZAPARKOWANY POJAZD MARKI TOYOTA YARIS  NA CHODNIKU, BRAK PRZEJŚCIA.",NIEPRAWIDŁOWE PARKOWANIE,SZCZYTNICKA 18/,,0,2016-08-04 10:28:28
2016-08-04 10:39:40,INT-30281/16,Przy Arkadach Wrocławskich na postoju taxi parkuję prywatne pojazdy.,NIEPRAWIDŁOWE PARKOWANIE,NASYPOWA /,,100,2016-08-04 14:37:49
2016-08-04 08:45:00,INT-30282/16,Handel na terenie gminy bez zezwolenia.,HANDEL,PILCZYCKA /,MANDAT,100,2016-08-04 10:41:19
2016-08-04 10:05:00,INT-30285/16,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,ŚW. DOROTY /,,0,2016-08-04 10:54:42
2016-08-04 10:35:00,INT-30289/16,parkowanie na całej szerokości chodnika,NIEPRAWIDŁOWE PARKOWANIE,PROSTA /,SĄD,0,2016-08-04 11:27:03
2016-08-04 09:00:00,INT-30290/16,parkowanie za B-36 i T-24,NIEPRAWIDŁOWE PARKOWANIE,DWORCOWA /,,100,2016-08-04 11:31:35
2016-08-04 11:20:00,INT-30292/16,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,STYKI I KOSSAKA /,,50,2016-08-04 11:43:03
2016-08-04 11:20:00,INT-30292/16,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,STYKI I KOSSAKA /,,100,2016-08-04 11:43:03
2016-08-04 11:20:00,INT-30292/16,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,STYKI I KOSSAKA /,,0,2016-08-04 11:43:03
2016-08-04 10:30:00,INT-30293/16,parkowanie na skrzyżowaniu ,BLOKADA,PUSZCZYKOWSKA /,,0,2016-08-04 11:46:36
2016-08-04 10:30:00,INT-30293/16,parkowanie na skrzyżowaniu ,BLOKADA,PUSZCZYKOWSKA /,,300,2016-08-04 11:46:36
2016-08-04 09:25:00,INT-30295/16,ul.Krawiecka skontrolowano nieprawidlowe parkowanie za znakiem zakaz zatrzymywania się B-36,NIEPRAWIDŁOWE PARKOWANIE,KRAWIECKA /,MANDAT,100,2016-08-04 11:51:03
2016-08-04 10:35:00,INT-30294/16,parkowanie na pasie zieleni,NISZCZENIE ZIELENI,KAMIENNA /,,50,2016-08-04 11:48:09
