2017-05-07 12:53:06,INT-16181/17,Zablokowany,"wjazd na posesj?, podwórze. ",NIEPRAWID?OWE PARKOWANIE ,ODRZA?SKA 1/ ,0,2017-05-07 13:02:43
2017-05-07 17:51:00,INT-16192/17,POJAZD MARKI FIAT,SEICENTO ZAPARKOWANY NA JEZDNI UTRUDNIA RUCH ,NIEPRAWID?OWE PARKOWANIE,NYSKA 56B/ ,0,2017-05-07 18:19:08
2017-05-07 17:59:25,INT-16194/17,PARKOWANIE POJAZDÓW,ZA CAPITOLEM UTRUDNINY PRZEJAZD JEZDNI? ,NIEPRAWID?OWE PARKOWANIE,BOGUS?AWSKIEGO / ,100,2017-05-07 21:29:39
2017-05-07 20:55:00,INT-16213/17,Parkowanie za B36 ,NIEPRAWID?OWE PARKOWANIE ,KAZIMIERZA,WIELKIEGO / ,100,2017-05-08 06:38:11
2017-05-08 10:13:50,INT-16241/17,parkowanie pojazdów,za B36  na drodze dojazdowej do szpitala ,NIEPRAWID?OWE PARKOWANIE,FIELDORFA-NILA / ,0,2017-05-08 16:11:42
2017-05-08 10:50:00,INT-16281/17,kont handlu - stoisko z truskawkami ,HANDEL ,GRABISZY?SKA /,MANDAT ,100,2017-05-08 13:21:27
2017-05-08 12:00:00,INT-16389/17,hadel ,HANDEL,STRZEGOMSKA / ,MANDAT ,100,2017-05-09 13:19:09
2017-05-08 13:50:00,INT-16304/17,parkowanie za B-36,BLOKADA ,ZAPOROSKA / ,MANDAT ,100,2017-05-08 17:25:55
2017-05-08 14:55:00,INT-16306/17,parkowanie na P-21 ,BLOKADA ,WIELKA / ,MANDAT ,0,2017-05-08 17:27:59
2017-05-08 15:10:00,INT-16308/17,parkowanie za B-35 ,BLOKADA,KAMIENNA / ,MANDAT ,100,2017-05-08 17:28:45
2017-05-08 17:40:00,INT-16341/17,SPO?YWANIE ALKOHOLU ,SPO?YWANIE ALKOHOLU ,WALO?SKA / ,MANDAT,100,2017-05-09 07:08:22
2017-05-08 18:15:38,INT-16316/17,ZABLOKOWANY WJAZD PRZEZ POJAZD MARKI VW  ,NIEPRAWID?OWE PARKOWANIE ,TKACKA,20/ ,0,2017-05-08 19:24:22
2017-05-08 20:30:00,INT-16335/17,wjazad za b-1 ,BEZPIECZE?STWO W KOMUNIKACJI ,PLAC KATEDRALNY / ,MANDAT ,50,2017-05-09 06:22:08
2017-05-08 22:45:00,INT-16332/17,Kontrola parkowania,pojazdów za znakiem B-35 ,BLOKADA ,NO?OWNICZA / ,100,2017-05-09 05:00:47
2017-05-09 00:05:00,INT-16333/17,Kontrola parkowania pojazdów,za znakiem B-36 ,BLOKADA ,KAZIMIERZA WIELKIEGO / ,0,2017-05-09 05:02:17
2017-05-09 10:17:11,INT-16360/17,ko?o Lidla nielegalne stoisko z truskawakami. ,HANDEL,GUBI?SKA / ,MANDAT ,100,2017-05-09 11:34:50
2017-05-09 12:56:56,INT-16381/17,przy mo?cie,Grunwaldzkim samochody parkuj? niszcz?c trawnik. ,NISZCZENIE ZIELENI,WYBRZE?E S?OWACKIEGO / ,100,2017-05-09 18:07:49
2017-05-09 13:40:55,INT-16393/17,samochód dostawczy blokuje,chodnik. ,NIEPRAWID?OWE PARKOWANIE ,RYTOWNICZA 6/ ,0,2017-05-09 17:08:45
2017-05-09 14:20:00,INT-16402/17,kontrola parkowania za znakiem,B-36 ,NIEPRAWID?OWE PARKOWANIE ,GWIA?DZISTA / ,100,2017-05-09 15:13:09
2017-05-10 06:38:54,INT-16443/17,przystanek Rynek brak,os?ony kabli na s?upie oswietleniowym  ,PORZ?DKOWA ,KAZIMIERZA WIELKIEGO /,100,2017-05-10 06:42:37
2017-05-10 08:44:27,INT-16464/17,Pojazdy,zaparkowane na jezdni blokuj? i utrudniaj? ruch. ,NIEPRAWID?OWE PARKOWANIE,STYKI I KOSSAKA / ,0,2017-05-10 09:37:47
2017-05-10 10:55:00,INT-16650/17,SPO?YWANIE ALKOHOLU,SPO?YWANIE ALKOHOLU ,GRUNWALDZKA / ,MANDAT ,100,2017-05-11 10:01:22
2017-05-10 11:05:00,INT-16632/17,nieprawid?owe poarkowanie,NIEPRAWID?OWE PARKOWANIE ,GRUNWALDZKA / ,MANDAT ,100,2017-05-11 08:48:03
2017-05-10 13:32:21,INT-16522/17,POJAZD RENAULT NA CA?EJ SZER.,CHODNIKA ,NIEPRAWID?OWE PARKOWANIE ,DAWIDA 1/ ,0,2017-05-10 16:07:27
2017-05-10 14:50:00,INT-16554/17,kontrola parkowania za znakiem,B-36 ,NIEPRAWID?OWE PARKOWANIE ,OJCA BEYZYMA / ,0,2017-05-10 16:48:19
2017-05-10 14:59:18,INT-16539/17,POJAZDY ZA B-36,NIEPRAWID?OWE PARKOWANIE ,CYBULSKIEGO 35/ ,100,,2017-05-10 17:44:25
2017-05-10 15:00:00,INT-16563/17,KONTROLA WJAZDU I,PARKOWANIA ZA ZNAKIEM B-1 ,NIEPRAWID?OWE PARKOWANIE ,KU?NICZA / ,100,2017-05-10 17:27:42
2017-05-10 15:00:00,INT-16563/17,KONTROLA,WJAZDU I PARKOWANIA ZA ZNAKIEM B-1 ,NIEPRAWID?OWE PARKOWANIE ,KU?NICZA / ,0,2017-05-10 17:27:42
2017-05-10 16:25:00,INT-16559/17,kontrola parkowania za znakiem B-36 ,NIEPRAWID?OWE,PARKOWANIE ,ZIELI?SKIEGO / ,100,2017-05-10 16:53:27
2017-05-10 16:47:42,INT-16555/17,Pojazdy ci??arowe,zaparkowane na B-36  cz??ciowo na chodniku. ,NIEPRAWID?OWE PARKOWANIE,MONOPOLOWA / ,100,2017-05-11 08:19:55
2017-05-10 17:30:00,INT-17856/17,Parkowanie na P21 ,BEZPIECZE?STWO W KOMUNIKACJI ,SZPITALNA /,100,,2017-05-22 08:30:10
2017-05-10 18:30:00,INT-17152/17,spo?ywanie alkoholu w miejscu zabronionym ,SPO?YWANIE ALKOHOLU ,BUJWIDA /,POUCZENIE ,0,2017-05-16 08:08:48
